Yangguan,Ireland,Happy,Sum,Sometime,Vietnamese,English,Sum,Kauai,Fire,Canyo,Sum
193.7646551,355.6115029,65.76780517,193.7646551,27.58153626,225.4164047,227.6474447,27.58153626,785.5482772,266.8530187,184.9433388,785.5482772
314.9623055,190.2983382,103.6779305,314.9623055,43.26983985,290.9458727,106.6189139,43.26983985,818.2576881,6.527623049,118.4246581,818.2576881
215.6237262,185.2437667,252.0984033,215.6237262,147.4351269,398.7101285,352.3108388,147.4351269,293.8085645,,50.87793273,293.8085645
1.049509113,171.5815761,497.777866,1.049509113,302.3867527,153.8051947,122.1797632,302.3867527,253.5882364,,90.61869326,253.5882364
529.4266952,171.532766,527.6929552,529.4266952,1.434955403,24.97955506,184.7546525,1.434955403,1335.945512,,45.32984967,564.2302146
318.0852855,192.3803176,103.0122334,318.0852855,357.7838132,240.5935257,275.9961927,357.7838132,771.7152973,,113.5307779,266.8530187
399.8988954,739.3843551,88.32359993,399.8988954,94.85385226,366.0666007,12.41647153,94.85385226,,,100.5532781,6.527623049
403.4648635,23.41883816,170.4225352,403.4648635,318.2150076,380.5684803,325.926198,318.2150076,,,163.3101818,184.9433388
218.9985873,538.9808083,466.4406199,218.9985873,183.9669016,219.1821521,5.245177567,183.9669016,,,115.2795915,118.4246581
1.904784077,1213.556191,443.9207023,1.904784077,214.9742118,267.4855559,243.6166651,214.9742118,,,189.3254114,50.87793273
72.13479102,529.9293322,549.7962373,72.13479102,606.3714596,315.7213505,34.77062686,606.3714596,,,100.3506823,90.61869326
,532.6024404,225.4492459,355.6115029,,335.3910955,29.0423375,225.4164047,,,204.5616764,45.32984967
,550.5661726,165.8721223,190.2983382,,274.1962743,37.79369951,290.9458727,,,92.01273651,113.5307779
,187.0648313,142.0100997,185.2437667,,45.13096623,33.7036924,398.7101285,,,75.29645584,100.5532781
,106.1487342,148.7918893,171.5815761,,32.43924595,71.03032821,153.8051947,,,31.40927006,163.3101818
,910.5418064,372.8802286,171.532766,,179.3463875,66.02638059,24.97955506,,,54.84342424,115.2795915
,498.8156793,45.57947572,192.3803176,,20.75151504,33.17021297,240.5935257,,,2.040164633,189.3254114
,3.704364416,74.49322448,739.3843551,,176.3634392,341.6074891,366.0666007,,,159.8895134,100.3506823
,225.1659418,191.4663459,23.41883816,,249.1419856,,380.5684803,,,,204.5616764
,3.41493121,41.91424052,538.9808083,,270.4865545,,219.1821521,,,,92.01273651
,198.6872626,154.6576975,1213.556191,,31.31413322,,267.4855559,,,,75.29645584
,172.182324,,529.9293322,,259.2864012,,315.7213505,,,,31.40927006
,48.63412907,,532.6024404,,525.253434,,335.3910955,,,,54.84342424
,166.1202103,,550.5661726,,,,274.1962743,,,,2.040164633
,325.9986973,,187.0648313,,,,45.13096623,,,,159.8895134
,,,106.1487342,,,,32.43924595,,,,
,,,910.5418064,,,,179.3463875,,,,
,,,498.8156793,,,,20.75151504,,,,
,,,3.704364416,,,,176.3634392,,,,
,,,225.1659418,,,,249.1419856,,,,
,,,3.41493121,,,,270.4865545,,,,
,,,198.6872626,,,,31.31413322,,,,
,,,172.182324,,,,259.2864012,,,,
,,,48.63412907,,,,525.253434,,,,
,,,166.1202103,,,,227.6474447,,,,
,,,325.9986973,,,,106.6189139,,,,
,,,65.76780517,,,,352.3108388,,,,
,,,103.6779305,,,,122.1797632,,,,
,,,252.0984033,,,,184.7546525,,,,
,,,497.777866,,,,275.9961927,,,,
,,,527.6929552,,,,12.41647153,,,,
,,,103.0122334,,,,325.926198,,,,
,,,88.32359993,,,,5.245177567,,,,
,,,170.4225352,,,,243.6166651,,,,
,,,466.4406199,,,,34.77062686,,,,
,,,443.9207023,,,,29.0423375,,,,
,,,549.7962373,,,,37.79369951,,,,
,,,225.4492459,,,,33.7036924,,,,
,,,165.8721223,,,,71.03032821,,,,
,,,142.0100997,,,,66.02638059,,,,
,,,148.7918893,,,,33.17021297,,,,
,,,372.8802286,,,,341.6074891,,,,
,,,45.57947572,,,,,,,,
,,,74.49322448,,,,,,,,
,,,191.4663459,,,,,,,,
,,,41.91424052,,,,,,,,
,,,154.6576975,,,,,,,,
